Time in milliSecond	x	y	z
9468693	-0.572055	7.886181	1.225831
9468704	-0.762739	8.063246	1.293933
9468715	-0.967045	8.458236	1.57996
9468725	-1.280313	8.825985	1.811506
9468738	-1.55272	9.139254	1.838747
9468748	-1.648062	9.275456	1.838747
9468759	-1.57996	9.507003	1.934089
9468769	-1.443757	9.643207	2.260978
9468779	-1.212211	9.847511	2.519764
9468789	-0.980665	9.929234	2.696829
9468799	-0.667397	10.092678	2.819412
9468810	-0.326888	10.242501	3.023717
9468819	-0.081722	10.283362	3.282504
9468829	-0.081722	10.54215	3.350605
9468839	-0.122583	10.800936	3.554911
9468850	-0.449471	11.141444	3.663873
9468862	-0.858082	11.454713	3.473189
9468874	-1.443757	12.094869	3.568531
9468885	-1.893228	12.612442	3.255263
9468896	-2.165635	12.884849	2.451663
9468906	-1.893228	12.721405	1.784266
9468916	-1.280313	12.285554	1.280313
9468927	-0.667397	11.75436	1.253072
9468936	-0.108963	11.386611	1.729784
9468947	0.286027	11.059722	2.710449
9468958	0.449471	10.814556	3.636633
9468968	0.640156	10.623871	4.235928
9468978	0.681017	10.54215	4.630918
9468988	0.640156	10.419566	4.549196
9468999	0.667397	10.419566	4.140586
9469008	0.640156	10.296983	3.554911
9469018	0.517573	10.242501	3.13268
9469028	0.354129	10.242501	2.928375
9469040	0.040861	10.242501	3.200782
9469050	-0.177065	10.215261	3.500429
9469060	-0.572055	10.256122	3.963521
9469070	-1.048767	10.215261	4.358511
9469081	-1.375655	9.970095	4.440233
9469090	-1.56634	9.724928	4.31765
9469100	-1.511859	9.275456	4.045243
9469111	-1.416516	8.662541	3.554911
9469124	-0.994285	7.736358	2.860273
9469135	-0.572055	7.150682	2.3427
9469162	-0.245166	6.837415	2.083913
9469171	0.544814	6.224499	1.688923
9469182	0.735499	6.156397	1.607201
9469193	0.885323	6.047434	1.280313
9469203	0.926184	6.224499	0.8036
9469213	0.912563	6.483285	0.572055
9469223	0.8036	6.864655	0.313268
9469235	0.544814	7.177923	0.027241
9469244	0.286027	7.504812	-0.217926
9469255	0.286027	7.981524	-0.245166
9469266	-0.299648	8.62168	0.217926
9469276	-0.422231	8.921328	0.708258
9469286	-0.476712	9.261836	1.198591
9469299	-0.585675	9.575105	1.893228
9469309	-0.708258	9.711308	2.083913
9469321	-0.626536	9.901993	2.097533
9469331	-0.640156	10.147159	1.865988
9469344	-0.667397	10.55577	2.111154
9469354	-0.8036	10.923519	2.192876
9469366	-0.871702	11.264028	2.846653
9469377	-1.007906	11.372991	3.255263
9469393	-1.253072	11.468333	3.827318
9469403	-1.225831	11.332129	3.990762
9469413	-1.048767	11.223166	3.691114
9469425	-0.939804	11.114203	2.996476
9469436	-0.653777	11.168685	2.383561
9469448	-0.39499	11.127824	1.702543
9469458	-0.190685	11.141444	1.348414
9469468	-0.163444	11.182305	1.430137
9469479	-0.190685	11.236787	1.729784
9469489	-0.286027	11.304889	2.152015
9469499	-0.449471	11.195926	2.683208
9469509	-0.8036	11.223166	3.159921
9469520	-1.321174	11.291268	3.473189
9469533	-1.825127	11.304889	4.181447
9469560	-2.220117	10.664732	3.800077
9469576	-2.124774	9.942854	3.377846
9469587	-1.811506	9.425281	3.13268
9469598	-1.729784	9.084772	3.214402
9469610	-1.838747	8.866846	3.377846
9469620	-1.865988	8.703403	3.159921
9469632	-1.893228	8.471856	2.887514
9469643	-1.879608	8.22669	2.478903
9469654	-1.757025	7.995144	2.220117
9469665	-1.525479	7.709117	1.879608
9469677	-1.280313	7.286886	1.457377
9469687	-1.007906	6.959998	1.253072
9469698	-0.735499	6.769313	1.266692
9469709	-0.367749	6.551387	1.18497
9469719	-0.149824	6.483285	1.021526
9469728	-0.027241	6.524147	0.898943
9469738	0.108963	6.742072	0.994285
9469750	0.217926	6.973618	1.021526
9469761	0.272407	7.123442	0.994285
9469772	0.108963	7.463951	0.817221
9469782	0.108963	7.804459	0.871702
9469792	-0.01362	8.104107	1.048767
9469803	-0.027241	8.430995	1.021526
9469813	-0.122583	8.689782	0.980665
9469823	-0.258787	8.812365	1.239452
9469832	-0.503953	9.125633	1.457377
9469844	-0.926184	9.588725	1.511859
9469854	-1.089628	9.861132	1.675303
9469864	-1.116868	10.160779	1.906849
9469876	-0.844462	10.296983	1.852367
9469886	-0.40861	10.351464	2.220117
9469896	-0.054481	10.296983	2.451663
9469908	0.217926	10.514909	2.901134
9469917	0.38137	10.773695	3.255263
9469928	0.476712	11.223166	3.350605
9469938	0.354129	11.563675	3.486809
9469948	0.027241	11.985906	3.473189
9469958	-0.258787	12.408136	3.445948
9469968	-0.612916	12.666924	3.105439
9469979	-0.762739	12.884849	2.574246
9469989	-0.762739	12.92571	2.152015
9470003	-0.640156	12.816748	2.288218
9470013	-0.599295	12.585201	2.574246
9470023	-0.612916	12.408136	3.228022
9470034	-0.653777	12.162971	4.154206
9470044	-0.503953	11.931424	4.467474
9470054	-0.190685	11.413852	4.508335
9470064	0.054481	10.841797	4.29041
9470075	0.667397	10.296983	3.541291
9470086	0.939804	9.901993	2.941995
9470096	1.130489	9.615966	2.329079
9470106	1.144109	9.452521	1.797886
9470116	0.926184	9.507003	1.525479
9470127	0.544814	9.643207	1.525479
9470138	0.544814	9.820271	1.906849
9470148	-0.245166	9.874752	2.192876
9470158	-0.8036	9.901993	2.75131
9470170	-1.253072	10.024576	3.405087
9470179	-1.525479	9.915613	3.650253
9470190	-1.607201	9.575105	3.840938
9470200	-1.56634	9.125633	3.663873
9470210	-1.334794	8.553578	3.377846
9470220	-0.967045	7.967904	2.833032
9470230	-0.640156	7.545672	2.410802
9470242	-0.299648	7.191544	1.893228
9470253	-0.190685	6.987238	1.770645
9470263	0.054481	6.769313	1.57996
9470273	0.286027	6.619489	1.280313
9470284	0.449471	6.510526	1.266692
9470294	0.435851	6.605869	1.035146
9470305	0.435851	6.769313	0.967045
9470315	0.39499	7.0281	0.967045
9470325	0.272407	7.300507	0.708258
9470335	0.054481	7.641015	0.558434
9470346	-0.149824	8.090487	0.503953
9470355	-0.245166	8.471856	0.476712
9470365	-0.39499	8.676162	0.40861
9470375	-0.449471	8.825985	0.490333
9470385	-0.272407	8.948568	0.517573
9470395	-0.190685	9.01667	0.898943
9470406	-0.149824	9.180115	1.225831
9470416	-0.027241	9.39804	1.607201
9470427	0.068102	9.615966	1.838747
9470437	0.245166	9.847511	1.988571
9470447	0.40861	9.970095	2.056673
9470457	0.476712	10.20164	2.247357
9470468	0.490333	10.487668	2.383561
9470477	0.286027	10.869038	2.642348
9470487	0.040861	11.304889	2.683208
9470497	-0.245166	11.727119	2.73769
9470507	-0.572055	12.094869	2.73769
9470518	-0.735499	12.258313	2.683208
9470528	-0.653777	12.408136	2.410802
9470540	-0.517573	12.448997	2.3427
9470550	-0.245166	12.271934	2.247357
9470560	-0.108963	12.108489	2.043052
9470570	-0.095342	11.836082	1.675303
9470581	-0.299648	11.767981	1.498238
9470590	-0.572055	11.836082	1.470998
9470604	-1.17135	11.890564	2.111154
9470613	-1.511859	11.795221	2.860273
9470624	-1.729784	11.522814	3.459568
9470635	-1.688923	11.223166	3.800077
9470645	-1.539099	10.855417	3.827318
9470655	-1.416516	10.59663	3.704735
9470666	-1.348414	10.079058	3.554911
9470677	-1.457377	9.847511	3.445948
9470687	-1.607201	9.643207	3.159921
9470697	-1.825127	9.425281	2.955616
9470707	-1.988571	9.220976	2.76493
9470717	-2.056673	9.030291	2.478903
9470731	-1.97495	8.648921	2.083913
9470741	-1.729784	8.322033	1.838747
9470751	-1.56634	7.967904	1.797886
9470761	-1.198591	7.518432	1.838747
9470771	-0.926184	7.150682	1.770645
9470781	-0.585675	6.769313	1.593581
9470793	-0.39499	6.415184	1.443757
9470802	-0.272407	6.183638	1.253072
9470812	-0.108963	6.088295	0.980665
9470822	-0.054481	6.061055	0.667397
9470833	-0.027241	6.224499	0.39499
9470844	-0.040861	6.428804	0.190685
9470854	-0.01362	6.592248	0.190685
9470865	-0.177065	7.04172	0.190685
9470875	-0.544814	7.286886	-0.027241
9470885	-0.558434	7.763598	0.01362
9470895	-0.681017	8.21307	-0.245166
9470906	-0.77636	8.444615	-0.190685
9470915	-0.858082	8.676162	0.054481
9470926	-1.062387	8.948568	0.476712
9470937	-1.402896	9.384419	0.830841
9470946	-1.484618	9.615966	1.18497
9470956	-1.443757	9.738548	1.57996
9470967	-1.362035	9.861132	1.865988
9470978	-1.116868	9.983715	2.315459
9470988	-0.599295	10.079058	2.478903
9470998	-0.177065	10.038197	2.72407
9471008	0.190685	9.997335	2.683208
9471019	0.572055	10.024576	2.574246
9471028	0.817221	10.092678	2.506144
9471038	0.885323	10.310603	2.547005
9471049	0.626536	10.732834	2.410802
9471059	0.286027	11.155065	2.397181
9471069	-0.149824	11.686258	2.179256
9471079	-0.612916	12.217452	2.152015
9471089	-0.967045	12.639683	1.934089
9471099	-0.967045	12.857608	1.729784
